base,rule,seed,multiple,single,delta,pct_delta
dynamic_30j_15m,SRT_SRWT,44,9900.0,9766.67,133.32999999999993,1.365153117695181
dynamic_30j_15m,random,42,9933.34,10033.34,-100.0,-0.9966770786198812
dynamic_30j_15m,random,43,10766.69,10666.67,100.02000000000044,0.9376872069727519
dynamic_30j_15m,random,44,9900.0,9900.0,0.0,0.0
large_50j_15m,LPT_MMUR,42,19200.0,19233.34,-33.340000000000146,-0.17334482726349215
large_50j_15m,LPT_MMUR,43,16466.69,16466.67,0.020000000000436557,0.00012145746529466224
large_50j_15m,LPT_MMUR,44,18400.0,18500.0,-100.0,-0.5405405405405406
large_50j_15m,LPT_SMPT,42,18200.0,18033.33,166.66999999999825,0.9242330728711681
large_50j_15m,LPT_SMPT,43,15666.66,15733.34,-66.68000000000029,-0.42381337974009514
large_50j_15m,LPT_SMPT,44,18066.66,18100.0,-33.340000000000146,-0.1841988950276251
large_50j_15m,LRT_MMUR,42,18633.34,18633.34,0.0,0.0
large_50j_15m,LRT_MMUR,43,16833.31,16833.34,-0.029999999998835847,-0.00017821775119397485
large_50j_15m,LRT_MMUR,44,18133.34,18133.34,0.0,0.0
large_50j_15m,SDT_SRWT,42,17666.66,17700.0,-33.340000000000146,-0.18836158192090477
large_50j_15m,SDT_SRWT,43,15400.0,15400.0,0.0,0.0
large_50j_15m,SDT_SRWT,44,17533.34,17566.66,-33.31999999999971,-0.18967749133870473
large_50j_15m,SPT_SMPT,42,18200.0,18133.34,66.65999999999985,0.3676101589668525
large_50j_15m,SPT_SMPT,43,15600.0,15666.67,-66.67000000000007,-0.42555310094614923
large_50j_15m,SPT_SMPT,44,17900.0,18033.34,-133.34000000000015,-0.7394082294239456
large_50j_15m,SPT_SRWT,42,17700.03,17900.0,-199.97000000000116,-1.1171508379888333
large_50j_15m,SPT_SRWT,43,15333.34,15400.0,-66.65999999999985,-0.43285714285714194
large_50j_15m,SPT_SRWT,44,17733.31,17900.0,-166.6899999999987,-0.9312290502793222
large_50j_15m,SRT_SMPT,42,18233.34,18066.67,166.6700000000019,0.9225275050687366
large_50j_15m,SRT_SMPT,43,15466.69,15566.66,-99.96999999999935,-0.642205842486438
large_50j_15m,SRT_SMPT,44,17866.66,17766.66,100.0,0.5628519935654761
large_50j_15m,SRT_SRWT,42,17800.0,17800.0,0.0,0.0
large_50j_15m,SRT_SRWT,43,15433.34,15433.33,0.010000000000218279,6.479483041066497e-05
large_50j_15m,SRT_SRWT,44,17766.66,17900.0,-133.34000000000015,-0.7449162011173193
large_50j_15m,random,42,17800.0,18200.0,-400.0,-2.197802197802198
large_50j_15m,random,43,15633.34,15766.66,-133.3199999999997,-0.8455817528886886
large_50j_15m,random,44,17833.34,17800.0,33.340000000000146,0.18730337078651768
medium_20j_15m,LPT_MMUR,42,9800.0,9800.0,0.0,0.0
medium_20j_15m,LPT_MMUR,43,9900.0,10000.0,-100.0,-1.0
medium_20j_15m,LPT_MMUR,44,9900.0,9500.0,400.0,4.2105263157894735
medium_20j_15m,LPT_SMPT,42,9500.0,9433.33,66.67000000000007,0.706749366342533
medium_20j_15m,LPT_SMPT,43,9299.98,9200.0,99.97999999999956,1.0867391304347778
medium_20j_15m,LPT_SMPT,44,9133.34,9200.0,-66.65999999999985,-0.7245652173913029
medium_20j_15m,LRT_MMUR,42,9800.0,9800.0,0.0,0.0
medium_20j_15m,LRT_MMUR,43,9733.34,9700.0,33.340000000000146,0.34371134020618704
medium_20j_15m,LRT_MMUR,44,9400.0,9400.0,0.0,0.0
medium_20j_15m,SDT_SRWT,42,9500.0,9633.33,-133.32999999999993,-1.3840489218162353
medium_20j_15m,SDT_SRWT,43,9400.02,9466.67,-66.64999999999964,-0.7040490478700497
medium_20j_15m,SDT_SRWT,44,9033.34,9033.33,0.010000000000218279,0.00011070114786261852
medium_20j_15m,SPT_SMPT,42,9433.33,9433.33,0.0,0.0
medium_20j_15m,SPT_SMPT,43,9400.0,9366.67,33.32999999999993,0.3558361723002938
medium_20j_15m,SPT_SMPT,44,9166.66,9200.0,-33.340000000000146,-0.3623913043478277
medium_20j_15m,SPT_SRWT,42,9266.67,9266.67,0.0,0.0
medium_20j_15m,SPT_SRWT,43,9066.66,9400.0,-333.34000000000015,-3.5461702127659587
medium_20j_15m,SPT_SRWT,44,9133.34,9233.33,-99.98999999999978,-1.0829245786731307
medium_20j_15m,SRT_SMPT,42,9366.66,9400.0,-33.340000000000146,-0.35468085106383135
medium_20j_15m,SRT_SMPT,43,9666.67,9633.33,33.340000000000146,0.3460900851522801
medium_20j_15m,SRT_SMPT,44,9600.0,9500.0,100.0,1.0526315789473684
medium_20j_15m,SRT_SRWT,42,9633.34,9466.67,166.67000000000007,1.7605979716204332
medium_20j_15m,SRT_SRWT,43,9300.0,9333.33,-33.32999999999993,-0.3571072703954529
medium_20j_15m,SRT_SRWT,44,9266.66,9266.67,-0.010000000000218279,-0.00010791363024925113
medium_20j_15m,random,42,9400.0,9300.0,100.0,1.0752688172043012
medium_20j_15m,random,43,9400.0,9266.67,133.32999999999993,1.4388124320818583
medium_20j_15m,random,44,9033.34,9033.33,0.010000000000218279,0.00011070114786261852
small_5j_5m,LPT_MMUR,42,1400.0,1264.15,135.8499999999999,10.746351303247232
small_5j_5m,LPT_MMUR,43,1566.67,1566.67,0.0,0.0
small_5j_5m,LPT_MMUR,44,1333.34,1333.33,0.009999999999990905,0.0007500018750040055
small_5j_5m,LPT_SMPT,42,1400.0,1263.74,136.26,10.782281165429596
small_5j_5m,LPT_SMPT,43,1566.66,1566.67,-0.009999999999990905,-0.0006382965142621551
small_5j_5m,LPT_SMPT,44,1333.33,1333.33,0.0,0.0
small_5j_5m,LRT_MMUR,42,1400.0,1264.26,135.74,10.736715549016818
small_5j_5m,LRT_MMUR,43,1400.0,1433.33,-33.32999999999993,-2.3253542450098674
small_5j_5m,LRT_MMUR,44,1266.66,1266.67,-0.009999999999990905,-0.0007894716066529486
small_5j_5m,SDT_SRWT,42,1433.33,1298.03,135.29999999999995,10.423487900895969
small_5j_5m,SDT_SRWT,43,1600.0,1600.0,0.0,0.0
small_5j_5m,SDT_SRWT,44,1266.67,1266.67,0.0,0.0
small_5j_5m,SPT_SMPT,42,1433.33,1296.94,136.38999999999987,10.516292195475494
small_5j_5m,SPT_SMPT,43,1466.67,1466.67,0.0,0.0
small_5j_5m,SPT_SMPT,44,1433.34,1433.33,0.009999999999990905,0.0006976760411064379
small_5j_5m,SPT_SRWT,42,1433.33,1297.77,135.55999999999995,10.445610547323483
small_5j_5m,SPT_SRWT,43,1466.67,1466.67,0.0,0.0
small_5j_5m,SPT_SRWT,44,1433.34,1433.33,0.009999999999990905,0.0006976760411064379
small_5j_5m,SRT_SMPT,42,1500.0,1365.61,134.3900000000001,9.841023425428936
small_5j_5m,SRT_SMPT,43,1633.33,1633.33,0.0,0.0
small_5j_5m,SRT_SMPT,44,1466.66,1466.67,-0.009999999999990905,-0.0006818166322343066
small_5j_5m,SRT_SRWT,42,1500.0,1363.56,136.44000000000005,10.006160344979323
small_5j_5m,SRT_SRWT,43,1633.33,1633.33,0.0,0.0
small_5j_5m,SRT_SRWT,44,1466.67,1466.67,0.0,0.0
small_5j_5m,random,42,1433.34,1296.83,136.51,10.526437543856943
small_5j_5m,random,43,1466.67,1466.67,0.0,0.0
small_5j_5m,random,44,1266.67,1266.67,0.0,0.0
xlarge_100j_20m,LPT_MMUR,42,43733.34,43233.34,500.0,1.156514856358542
xlarge_100j_20m,LPT_MMUR,43,47200.0,47100.0,100.0,0.21231422505307856
xlarge_100j_20m,LPT_MMUR,44,48733.34,49000.0,-266.6600000000035,-0.5442040816326602
xlarge_100j_20m,LPT_SMPT,42,40733.34,40833.34,-100.0,-0.24489791920033976
xlarge_100j_20m,LPT_SMPT,43,44300.0,44400.01,-100.01000000000204,-0.22524769701628902
xlarge_100j_20m,LPT_SMPT,44,44666.69,44733.34,-66.64999999999418,-0.14899401654335265
xlarge_100j_20m,LRT_MMUR,42,45200.03,44866.67,333.3600000000006,0.7430014306834017
xlarge_100j_20m,LRT_MMUR,43,49033.34,48766.67,266.66999999999825,0.5468283973459707
xlarge_100j_20m,LRT_MMUR,44,49700.0,49266.67,433.33000000000175,0.8795601569986399
xlarge_100j_20m,SDT_SRWT,42,40433.34,40300.01,133.32999999999447,0.3308435903613782
xlarge_100j_20m,SDT_SRWT,43,44133.34,44200.01,-66.67000000000553,-0.15083706994637677
xlarge_100j_20m,SDT_SRWT,44,44466.66,44366.67,99.99000000000524,0.2253718838939349
xlarge_100j_20m,SPT_SMPT,42,40566.66,40500.01,66.65000000000146,0.16456786060053183
xlarge_100j_20m,SPT_SMPT,43,44366.66,44233.34,133.32000000000698,0.3014016124489062
xlarge_100j_20m,SPT_SMPT,44,45400.0,45133.33,266.66999999999825,0.5908493789401276
xlarge_100j_20m,SPT_SRWT,42,40466.66,40433.34,33.320000000006985,0.08240724115298659
xlarge_100j_20m,SPT_SRWT,43,44533.34,44766.67,-233.33000000000175,-0.5212136618604908
xlarge_100j_20m,SPT_SRWT,44,45000.03,44933.34,66.69000000000233,0.14841985928489254
xlarge_100j_20m,SRT_SMPT,42,41000.0,41300.01,-300.01000000000204,-0.7264162890033248
xlarge_100j_20m,SRT_SMPT,43,44633.34,44533.34,100.0,0.22455086458819393
xlarge_100j_20m,SRT_SMPT,44,44833.34,45233.34,-400.0,-0.8843034805742843
xlarge_100j_20m,SRT_SRWT,42,40633.34,40666.67,-33.330000000001746,-0.0819590096754953
xlarge_100j_20m,SRT_SRWT,43,44266.69,44566.68,-299.98999999999796,-0.6731262010093594
xlarge_100j_20m,SRT_SRWT,44,44833.34,45133.33,-299.99000000000524,-0.6646750860173739
xlarge_100j_20m,random,42,40433.31,40633.34,-200.02999999999884,-0.49228047706636685
xlarge_100j_20m,random,43,45233.34,44500.01,733.3299999999945,1.6479322139478045
xlarge_100j_20m,random,44,45433.31,44866.67,566.6399999999994,1.2629419566907896
