policy,kind,seed,seed_index,step,sim_time,decision_count,wip,jobs_exited,action,rule,entropy,chosen_prob,p_SPT-SMPT,p_SPT-SRWT,p_LPT-MMUR,p_LPT-SMPT,p_SRT-SRWT,p_SRT-SMPT,p_LRT-MMUR,p_FIFO-SRWT
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,35,115.78,36,14,1,1,SPT-SRWT,2.05157,0.16492,0.15395,0.16492,0.09106,0.09669,0.0948,0.10213,0.1442,0.15226
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,36,126.38,37,14,1,1,SPT-SRWT,2.05331,0.15532,0.15387,0.15532,0.0912,0.09701,0.09654,0.10232,0.14908,0.15467
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,37,132.34,38,14,1,1,SPT-SRWT,2.05328,0.15533,0.15379,0.15533,0.09124,0.09702,0.09642,0.10231,0.14919,0.15471
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,38,133.48,39,14,1,6,LRT-MMUR,2.04821,0.16766,0.14932,0.16068,0.08571,0.11728,0.08247,0.1031,0.16766,0.13378
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,39,143.9,40,13,2,1,SPT-SRWT,2.04808,0.16933,0.14923,0.16933,0.08526,0.11648,0.08412,0.10244,0.16093,0.13222
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,40,176.52,41,11,4,1,SPT-SRWT,2.05134,0.1657,0.157,0.1657,0.09235,0.09461,0.095,0.10262,0.14344,0.14928
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,41,187.44,42,11,4,1,SPT-SRWT,2.04717,0.1683,0.15144,0.1683,0.08627,0.11541,0.08205,0.10298,0.16262,0.13093
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,42,198.52,43,11,4,1,SPT-SRWT,2.05058,0.16708,0.15761,0.16708,0.09269,0.0948,0.09286,0.10307,0.14316,0.14871
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,43,204.74,44,11,4,1,SPT-SRWT,2.05104,0.16216,0.15858,0.16216,0.09324,0.09557,0.09119,0.10347,0.1462,0.14959
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,44,212.64,45,11,4,1,SPT-SRWT,2.05233,0.15954,0.15737,0.15954,0.09276,0.09548,0.09443,0.10278,0.14707,0.15057
